"","version_0.4","version_0.5","version_0.6","filename"
"x11_spike",345,120,120,"x11_spike"
"x86_64-linux-gnu-ar",80,37,60,"x86_64-linux-gnu-ar"
"x86_64-linux-gnu-as",0,0,0,"x86_64-linux-gnu-as"
"x86_64-linux-gnu-c++filt",0,0,0,"x86_64-linux-gnu-c++filt"
"x86_64-linux-gnu-cpp-10",983,94,44,"x86_64-linux-gnu-cpp-10"
"x86_64-linux-gnu-g++-10",986,92,42,"x86_64-linux-gnu-g++-10"
"x86_64-linux-gnu-gcc-10",983,97,45,"x86_64-linux-gnu-gcc-10"
"x86_64-linux-gnu-gcov-dump-10",0,0,0,"x86_64-linux-gnu-gcov-dump-10"
"x86_64-linux-gnu-gcov-tool-10",0,0,0,"x86_64-linux-gnu-gcov-tool-10"
"x86_64-linux-gnu-gprof",283,321,125,"x86_64-linux-gnu-gprof"
"x86_64-linux-gnu-ld.bfd",952,798,810,"x86_64-linux-gnu-ld.bfd"
"x86_64-linux-gnu-ld.gold",0,0,0,"x86_64-linux-gnu-ld.gold"
"x86_64-linux-gnu-objcopy",1299,19,0,"x86_64-linux-gnu-objcopy"
"x86_64-linux-gnu-objdump",1420,14,26,"x86_64-linux-gnu-objdump"
"x86_64-linux-gnu-ranlib",80,37,60,"x86_64-linux-gnu-ranlib"
"x86_64-linux-gnu-readelf",566,0,0,"x86_64-linux-gnu-readelf"
"x86_64-linux-gnu-strip",1299,19,0,"x86_64-linux-gnu-strip"
"xargs",0,0,0,"xargs"
"xauth",76,45,64,"xauth"
"xclock",0,0,0,"xclock"
"xdg-dbus-proxy",52,16,21,"xdg-dbus-proxy"
"xditview",53,13,15,"xditview"
"xdotool",45,27,49,"xdotool"
"xedit",0,0,0,"xedit"
"xfce4-about",5,5,6,"xfce4-about"
"xfce4-accessibility-settings",0,2,2,"xfce4-accessibility-settings"
"xfce4-appearance-settings",0,2,2,"xfce4-appearance-settings"
"xfce4-appfinder",124,21,26,"xfce4-appfinder"
"xfce4-clipman",56,2,4,"xfce4-clipman"
"xfce4-clipman-history",59,2,3,"xfce4-clipman-history"
